id,timestamp,full_sq,life_sq,floor,state,max_floor,material,build_year,num_room,kitch_sq,full_all,sub_area,price_doc
13324,2013-12-23,42,28.0,8.0,2.0,9.0,1.0,1969.0,2.0,6.0,43795,Pechatniki,7100000
10064,2013-08-26,55,41.0,4.0,3.0,5.0,2.0,1960.0,3.0,5.0,21040,Dorogomilovo,11500000
12022,2013-11-11,43,29.0,4.0,2.0,5.0,2.0,1960.0,2.0,5.0,157010,Ivanovskoe,5800000
10186,2013-08-30,62,35.0,15.0,,22.0,1.0,1985.0,2.0,10.0,178264,Jasenevo,11400000
30052,2015-05-29,80,55.0,15.0,1.0,24.0,6.0,2017.0,3.0,12.0,76284,Nagatinskij Zaton,12697154
10073,2013-08-26,42,18.0,19.0,2.0,23.0,1.0,2006.0,1.0,10.0,83369,Rjazanskij,2000000
23912,2014-10-24,32,18.0,1.0,3.0,9.0,1.0,1970.0,1.0,6.0,145576,Caricyno,5700000
21173,2014-07-30,37,19.0,7.0,3.0,17.0,1.0,1986.0,1.0,7.0,123000,Kon'kovo,7850000
24816,2014-11-17,51,40.0,6.0,4.0,9.0,1.0,1969.0,3.0,5.0,157010,Ivanovskoe,9500000
17345,2014-04-14,37,19.0,5.0,3.0,16.0,1.0,1984.0,1.0,9.0,1318695,Vyhino-Zhulebino,6100000
12119,2013-11-14,79,77.0,9.0,1.0,17.0,1.0,2013.0,3.0,1.0,247469,Nekrasovka,7257928
19525,2014-06-09,75,44.0,15.0,2.0,16.0,1.0,1980.0,3.0,10.0,178264,Jasenevo,10800000
10412,2013-09-11,77,75.0,1.0,1.0,6.0,4.0,2014.0,3.0,11.0,13890,Poselenie Sosenskoe,7251160
16998,2014-04-04,36,19.0,10.0,3.0,17.0,1.0,1993.0,1.0,7.0,21155,Mitino,6650000
23333,2014-10-07,38,20.0,10.0,2.0,14.0,1.0,1997.0,1.0,8.0,85219,Matushkino,1100000
15177,2014-02-18,38,19.0,11.0,3.0,16.0,1.0,1981.0,1.0,8.0,65972,Ostankinskoe,8200000
27751,2015-02-05,43,28.0,5.0,2.0,5.0,2.0,1964.0,2.0,5.0,76284,Nagatinskij Zaton,6920000
23040,2014-09-29,73,44.0,4.0,3.0,17.0,1.0,1985.0,3.0,10.0,67710,Krylatskoe,15300000
10335,2013-09-07,55,32.0,12.0,,16.0,1.0,1979.0,2.0,8.0,61396,Otradnoe,9000000
14915,2014-02-12,59,44.0,9.0,2.0,9.0,1.0,1970.0,3.0,5.0,157010,Ivanovskoe,7600000
21124,2014-07-28,34,19.0,3.0,3.0,12.0,5.0,1969.0,1.0,9.0,142462,Mozhajskoe,5800000
15587,2014-03-01,90,48.0,3.0,2.0,20.0,1.0,2004.0,3.0,11.0,90114,Teplyj Stan,17300000
11171,2013-10-11,30,18.0,5.0,3.0,5.0,2.0,1960.0,1.0,6.0,157010,Ivanovskoe,1200000
23257,2014-10-03,77,0.0,16.0,1.0,22.0,1.0,0.0,3.0,0.0,39873,Poselenie Shherbinka,5615703
21856,2014-08-25,37,19.0,13.0,2.0,17.0,1.0,2006.0,1.0,7.0,27992,Juzhnoe Medvedkovo,7100000
30273,2015-06-16,77,46.0,20.0,2.0,22.0,1.0,1994.0,3.0,9.0,155572,Butyrskoe,14100000
5202,2012-12-11,34,19.0,12.0,,,,,,,145088,Birjulevo Zapadnoe,4700000
29152,2015-04-16,44,28.0,1.0,3.0,9.0,1.0,1972.0,2.0,6.0,157010,Ivanovskoe,6500000
20901,2014-07-16,55,32.0,22.0,2.0,27.0,6.0,2006.0,2.0,7.0,155427,Horoshevo-Mnevniki,14050000
2592,2012-06-20,37,18.0,2.0,,,,,,,129207,Orehovo-Borisovo Juzhnoe,5900000
14228,2014-01-28,66,66.0,5.0,1.0,6.0,4.0,2014.0,2.0,0.0,61039,Ramenki,10630400
5527,2012-12-27,38,,12.0,,,,,,,9553,Poselenie Voskresenskoe,3839320
11650,2013-10-29,43,43.0,4.0,1.0,12.0,1.0,2013.0,2.0,1.0,13890,Poselenie Sosenskoe,4546500
16741,2014-03-31,1,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,9553,Poselenie Voskresenskoe,7820575
24833,2014-11-17,117,66.0,8.0,1.0,23.0,4.0,2010.0,3.0,12.0,21155,Mitino,6400000
18739,2014-05-22,94,52.0,8.0,1.0,20.0,1.0,2012.0,3.0,11.0,76156,Nagatino-Sadovniki,9000000
22886,2014-09-24,38,19.0,12.0,2.0,16.0,5.0,1976.0,1.0,10.0,94564,Golovinskoe,2000000
29606,2015-05-07,150,80.0,6.0,3.0,16.0,4.0,2000.0,3.0,25.0,67710,Krylatskoe,36500000
11146,2013-10-10,31,18.0,3.0,2.0,5.0,2.0,1966.0,1.0,5.0,3521,Savelovskoe,5950000
9952,2013-08-21,38,37.0,5.0,1.0,17.0,4.0,2015.0,1.0,10.0,247469,Nekrasovka,4033260
27705,2015-02-04,58,32.0,8.0,3.0,17.0,1.0,1989.0,2.0,10.0,85721,Brateevo,6000000
17354,2014-04-14,76,45.0,5.0,4.0,17.0,1.0,1987.0,3.0,10.0,129207,Orehovo-Borisovo Juzhnoe,13200000
11540,2013-10-24,84,62.0,4.0,2.0,6.0,2.0,1932.0,4.0,7.0,55590,Krasnosel'skoe,15200000
11276,2013-10-16,68,46.0,3.0,3.0,16.0,1.0,1977.0,3.0,7.0,1452550,Bogorodskoe,9000000
28275,2015-03-10,76,44.0,5.0,3.0,17.0,1.0,1986.0,3.0,10.0,67710,Krylatskoe,16000000
19941,2014-06-21,39,20.0,12.0,3.0,12.0,1.0,1983.0,1.0,8.0,1716730,Birjulevo Vostochnoe,5500000
15216,2014-02-19,74,43.0,9.0,4.0,17.0,1.0,1993.0,3.0,10.0,1318695,Vyhino-Zhulebino,11600000
23388,2014-10-08,44,30.0,5.0,3.0,5.0,1.0,1962.0,2.0,5.0,139322,Severnoe Izmajlovo,2250000
11497,2013-10-23,38,23.0,9.0,2.0,12.0,5.0,1969.0,2.0,6.0,57405,Preobrazhenskoe,7250000
19248,2014-06-02,62,32.0,8.0,3.0,17.0,1.0,2008.0,2.0,12.0,41504,Beskudnikovskoe,10600000
19819,2014-06-19,62,62.0,5.0,1.0,20.0,1.0,0.0,2.0,0.0,17790,Poselenie Vnukovskoe,6844024
14226,2014-01-28,38,23.0,7.0,2.0,14.0,5.0,1969.0,2.0,6.0,37502,Sviblovo,6900000
21931,2014-08-27,102,63.0,22.0,3.0,22.0,1.0,2003.0,4.0,10.0,81887,Hovrino,18500000
10403,2013-09-10,56,40.0,3.0,3.0,9.0,2.0,1965.0,3.0,4.0,102590,Danilovskoe,9250000
27371,2015-01-19,36,19.0,14.0,2.0,17.0,1.0,1990.0,1.0,7.0,78616,Severnoe Butovo,7050000
